StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;ProlificID;Location_1;Age_2;Gender_3;Gender_3_5_TEXT;Role_4;Role_4_8_TEXT;Experience_5;AgileExp_6;Education_7;Education_7_4_TEXT;Team_8;AgileMethod_9;AgileMethod_9_5_TEXT;TeamSize_10;ProjectScope_11;MultiFunc_12_1;SoftDev_13;SoftDev_13_4_TEXT;WorkingTogether_14;InHouseOutsource_15;InHouseOutsource_15_3_TEXT;Colocated_16;MultipleTeams_17;PS_18_1;PS_18_2;PS_18_3;PS_18_4;PS_18_5;PS_18_6;PS_18_7;Leadership_19_1;Leadership_19_2;Leadership_19_3;Leadership_20_1;Leadership_20_2;Leadership_20_3;Leadership_21_1;Leadership_21_2;Leadership_21_3;Leadership_21_4;Leadership_22_1;Leadership_22_2;Leadership_22_3;Leadership_22_4;Leadership_22_5;AttentionCheck_23_1;Autonomy_24_1;Autonomy_24_2;Autonomy_24_3;Autonomy_24_4;Autonomy_24_5;Autonomy_24_6;DecisionMaking_25_1;DecisionMaking_25_2;DecisionMaking_25_3;DecisionMaking_25_4;SlackTime_26_1;SlackTime_26_2;SlackTime_26_3;SafetyNet_27_1;SafetyNet_27_2;SafetyNet_27_3;NoBlame_28_1;NoBlame_28_2;NoBlame_28_3;Openness_29_1;Openness_29_2;Openness_29_3;Openness_29_4;Openness_29_5;SpeakingUp_30_1;SpeakingUp_30_2;SpeakingUp_30_3;SpeakingUp_30_4;AdmittingMistakes_31_1;AdmittingMistakes_31_2;AdmittingMistakes_31_3;AdmittingMistakes_31_4;AdmittingMistakes_32;LearningMistakes_33_1;LearningMistakes_33_2;LearningMistakes_33_3;Helping_34_1;Helping_34_2;Helping_34_3;Helping_34_4;Helping_34_5;ProblemSolving_35_1;ProblemSolving_35_2;ProblemSolving_35_3;AttentionCheck_36;TakingInitiatives_37_1;TakingInitiatives_37_2;TakingInitiatives_37_3;TakingInitiatives_37_4;TakingInitiatives_37_5;TakingInitiatives_38;Coaching_39;PairProgramming_40;Role_41;Role_41_8_TEXT;ProjectScope_42;Technologies_43
2022-05-27 05:05:24;2022-05-27 05:16:58;IP Address;152.37.102.164;100;694;TRUE;2022-05-27 05:17:00;R_2Cy4LzDcV7durRF;;;;;51.5074;-0.1196;anonymous;EN;5e789bba38593241a00fec57;United Kingdom;30 years or younger;Female;;Senior software engineer;;3 - 5 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;7;We are trying to find prospect customers for a company based on their current customers through analysing data and finding customers of interest through a network we have built based on several requirements from the client.;Somewhat disagree;Custom development;;Less than 1 year;In-house;;Less than 1 day per week;No;Somewhat disagree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;My code was not as functional as it could have been and I admitted that to my team so that we could refactor it at a later stage. I can't think of any others.;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat disagree;Casablanca;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I dont remember conducting anything of this sort due to the nature of the projects I have worked on.;Never;Sometimes;Senior software engineer;;We are finding prospect customers for our client by looking at current customers and generating relevant networks based on requirements gathered from our client which shows connections between current customers as well as prospect customers through different paths.;Scala, spark, HTML, typescript,CSS, Elasticsearch. The main language used is Scala and spark is used to process big data, which is what we are working with.
2022-05-27 05:05:16;2022-05-27 05:18:40;IP Address;82.72.127.45;100;803;TRUE;2022-05-27 05:18:42;R_3hoV2gDIhJV1OjF;;;;;53.3221;6.8985;anonymous;EN;615d773248d127d9f7a5649b;Netherlands;30 years or younger;Male;;Software developers (including Front End, Back End developers, etc.);;3 - 5 years;Less than 3 years;Bachelor's degree;;Yes, I understand this requirement;Scrum,Kanban;;10;It's a project that's used by the different universities of the country. The scope of the project is the development and maintenance of the project. The hardware the project runs on falls outside of the scope of the project. We only focus on the software part.;Somewhat agree;Custom development,Maintenance/enhancement of existing system(s);;1 – 2 years;In-house;;1-2 days per week;Yes;Strongly disagree;Strongly agree;Strongly disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat disagree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;"I accidentally send out a wrong version of a release, that was not stable. This caused the users to experience crashes and bugs. When I admitted my mistake, the team got together to fix it.

I once accidentally removed the content of a table in a database. I immediately notified the team, who together came up with a way to resolve the situation.";Strongly agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Casablanca;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;"We've experimented with different code styles to determine the one that makes the code the most readable (and thus maintainable).

We've experimented with upgrading to newer versions of the framework, to see what it would take to fully upgrade everything.";About half the time;Sometimes;Software developers (including Front End, Back End developers, etc.);;It's a project that's used by the different universities of the country. The scope of the project is the development and maintenance of the project. The hardware the project runs on falls outside of the scope of the project. We only focus on the software part.;C#, .NET, .NET Core, Scriptcase, PHP, SQL, Visual Studio, SQL Server Management Studio
2022-05-27 05:08:40;2022-05-27 05:19:01;IP Address;212.50.191.220;100;620;TRUE;2022-05-27 05:19:03;R_2uKuAwxzmlPk0eS;;;;;53.7426;-0.3295;anonymous;EN;607c5af095d4f618fc21a1d1;United Kingdom;Over 51 years old;Male;;Senior software engineer;;More than 12 years;6 - 8 years;Master's degree;;Yes, I understand this requirement;Scrum;;5;ERP system enhancements for a large customer involving many sprints over a 12-18 month period;Somewhat agree;Custom development,Implementation of software packages/COTS,Maintenance/enhancement of existing system(s);;1 – 2 years;In-house;;3-4 days per week;No;Somewhat disagree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Strongly agree;Somewhat disagree;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;​​​​​​​Somewhat disagree;Neither agree nor disagree;​​​​​​​Somewhat disagree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;"typo in code causing unexpected results, was amusing.
logic error not noticed until just prior to delivery.";Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Casablanca;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;nothing springs to mind, there isn't usually the luxury of time for this;Never;About half the time;Senior software engineer;;Universe Databasic, System Builder 4GL - old technology not widely used - bespoke;manual and auto testing tools - mainly manual at present as automated tools are usually not compatible with our old tech
2022-05-27 05:07:35;2022-05-27 05:20:58;IP Address;217.63.119.78;100;803;TRUE;2022-05-27 05:21:00;R_3hmsEwT7590QyAg;;;;;56.1702;9.5449;anonymous;EN;5efda930d80f810126b0b4fe;Denmark;30 years or younger;Female;;Senior software engineer;;3 - 5 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;6;We are building a monitoring dashboard for uptime and other metrics that are important for us to keep an eye on and report to stakeholders.;Somewhat agree;Custom development;;1 – 2 years;In-house;;3-4 days per week;Yes;Somewhat disagree;Strongly agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;"(1) I have hastily pushed code without thoroughly testing it, and it turned out to not work on a crucial point that I did not think about enough.
(2) I implemented a feature in the wrong way because I did not read the task and context thoroughly enough.";Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Casablanca;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;"(1) I set up a dedicated testing flow to be done by another team that we work closely with;
(2) I wrote a script to automatically notify the main responsibles in the team if a specific problem arises";Sometimes;Sometimes;Senior software engineer;;We are building a dashboard for monitoring our servers and our core processes, to check on our live processes and to report to stakeholders.;Answer as software engineer: we use Python, AngularJS, Django, Typescript, Ansible
2022-05-27 05:05:58;2022-05-27 05:22:50;IP Address;194.181.109.250;100;1012;TRUE;2022-05-27 05:22:52;R_D8h2B570IIytM8p;;;;;54.4994;18.551;anonymous;EN;60c8fc44010dfe2a4b8682b8;Poland;31 - 40 years;Male;;Software engineer;;3 - 5 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;6;Implementation of accelerated data analysis of tested products in order to release them for sale;Strongly agree;Custom development;;Less than 1 year;Outsourced;;1-2 days per week;No;Somewhat disagree;Somewhat agree;Somewhat disagree;Strongly agree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat disagree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Strongly agree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;I remember one where filtering data always omitted the first result;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Strongly agree;Somewhat agree;Casablanca;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;"New graphical interface for displaying data.
acceleration of code performance on large amounts of data";Never;Sometimes;Software engineer;;using C #, we are working on an application that processes product data that allows for faster implementation of the product for sale;uniform perception of SCRUM artifacts, and Scrum master, consistent code templates
2022-05-27 05:05:10;2022-05-27 05:24:27;IP Address;31.191.80.78;100;1156;TRUE;2022-05-27 05:24:29;R_3fHGVwDPN7e2MY5;;;;;41.8904;12.5126;anonymous;EN;5f2d14d99d93bf265393b8ac;Italy;31 - 40 years;Male;;Senior software engineer;;3 - 5 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;15;The aim of the project is to create a platform to manage public funds. it is used by several figures (including public managers) and can also be used to report expenses;Somewhat agree;Custom development,Maintenance/enhancement of existing system(s);;More than 4 years;In-house,Outsourced;;Less than 1 day per week;No;Somewhat disagree;Neither agree nor disagree;Strongly disagree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Database write and data recovery errors. Data from different users was mixed;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Casablanca;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Review of the logic of the code and of the performance of the queries;Most of the time;Most of the time;Senior software engineer;;We use java, spring (boot, mvc, security, data) and hibernate, html, javascript, jquery, bootstrap;we usually conduct tests by hand, having the software tested by multiple people. We also use sonarqube
2022-05-27 05:07:08;2022-05-27 05:24:46;IP Address;88.157.224.211;100;1057;TRUE;2022-05-27 05:24:48;R_1jKdSLcuNQSaMqh;;;;;38.75;-9.2075;anonymous;EN;5bd1d56694403600013e2b0b;Portugal;41 - 50 years;Male;;Software developers (including Front End, Back End developers, etc.);;More than 12 years;Less than 3 years;Bachelor's degree;;Yes, I understand this requirement;Kanban;;6;A page to allow customers to make online orders. I am the lead developer in this project.;Somewhat agree;Custom development,Maintenance/enhancement of existing system(s);;More than 4 years;In-house,Outsourced;;Always;Yes;Strongly agree;Somewhat agree;Strongly agree;Strongly disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Strongly agree;Strongly disagree;Somewhat disagree;Strongly disagree;Neither agree nor disagree;Somewhat disagree;Strongly disagree;Somewhat agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Somewhat disagree;Strongly disagree;Somewhat agree;Somewhat agree;Strongly agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Somewhat disagree;Strongly disagree;​​​​​​​Somewhat disagree;​​​​​​​Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat disagree;"Breaking code
Doing wrong update on the Database";Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Casablanca;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat agree;"Upgrading the password management system
Recoding parts of the application to increase consistency of code";Sometimes;Sometimes;Software developers (including Front End, Back End developers, etc.);;Ordering system for customers to introduce online orders. I am the main developer of the project.;PHP, Javascript, SQL, Regex, Visual Basic, REST/SOAP, JQuery, Devexpress, MariaDB
2022-05-27 05:06:02;2022-05-27 05:24:52;IP Address;77.98.153.8;100;1129;TRUE;2022-05-27 05:24:54;R_2aM568n4daC2Boo;;;;;52.4173;-2.006;anonymous;EN;5bcdc51fad25080001447512;United Kingdom;30 years or younger;Male;;Quality assurance analyst;;3 - 5 years;3 - 5 years;Other (please specify below);College A Levels;Yes, I understand this requirement;Scrum;;11;We are working on implementing the options of monthly payment plans into our E commerce website. A large corporation of 10000+ employees. Before customers only had the option of paying in full, with this new option they can spread the cost over several months/years;Strongly agree;Custom development,Maintenance/enhancement of existing system(s);;Less than 1 year;In-house;;Less than 1 day per week;Yes;Somewhat disagree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Personally i only do QA so i havent implemented any mistakes, however an example recently is they pushed out some updates to the wrong environment. Accidentally overwriting another environment, they admitted their mistake and reverted the changes. In the end we call all laugh about it, no harm done;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Casablanca;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Again more talking about QA. We have been reviewing our testing purposes recently and we have decided to include 2-3 blocks of time for exploratory testing. Previously we had done this but it wasnt scheduled in. Now once a sprint each colleague will set aside a block of time to play around with the current release. Another thing that recently changed on the QA side is removing Backend manual testing. Manual testing now will only include front end and Automation will cover backend. These things are never just implemented, they are trialed first and then decided on their value;Sometimes;Sometimes;Quality assurance analyst;;As i mentioned before it's to implement a new payment option on a big e-commerce website. Monthly payment plans, release one has been released to the public but we are now working on release 2 until july. This will include lots of quality of life improvements and also some new features.;Currently at the start of a sprint we will review Jira with the tickets we want to pull into the sprint. Then throughout the sprint we will use our Jira dashboard to track the stories in development until their ready for testing. Once ready usually a developer will do a handover showing what has been done. Then we are free to capture evidence of our testing either via a video or screengrabs. Finally if testing is done and meets expectations we will update the jira ticket with the evidence. If it was the final task on the Story i will usually close it and move onto another.
2022-05-27 05:11:02;2022-05-27 05:24:59;IP Address;2.24.187.232;100;836;TRUE;2022-05-27 05:25:01;R_Di1OY7swLJOD5ux;;;;;53.3888;-2.3429;anonymous;EN;5af4579eb625f70001e0cfad;United Kingdom;41 - 50 years;Female;;Quality assurance engineer;;More than 12 years;9 - 11 years;Master's degree;;Yes, I understand this requirement;Scrum;;8;We are developing analysis software for the interpretation of scientific data . At the moment we are concentrating on software to support 2 new scientific instruments;Strongly agree;Custom development;;More than 4 years;In-house;;1-2 days per week;Yes;Somewhat disagree;Somewhat agree;Somewhat disagree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Last week I broke the build by not including 3 dlls that were needed when I complied. I also forgot about a dependency;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Casablanca;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;We have installed a face to face code review process  rather than a paper based system;Sometimes;Sometimes;Quality assurance engineer;;We are producing software to analyse the results from scientific instruments at the moment we are convey on 2 new instruments;We use a 3 stage reviewing system, so the code is reviewed visually, the. The functionality is tested in isolation then there is an overall test review
2022-05-27 05:06:18;2022-05-27 05:25:36;IP Address;206.53.93.124;100;1158;TRUE;2022-05-27 05:25:38;R_V29WHLW6xZmgTSh;;;;;41.4673;-72.1906;anonymous;EN;6132542039ead71f30971bd6;United States;31 - 40 years;Male;;Senior software engineer;;9 - 11 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;5;Working on migration to the cloud combined with AI. This has been and continues to be quite challenging for our team.;Strongly agree;Custom development,Implementation of software packages/COTS,Maintenance/enhancement of existing system(s);;1 – 2 years;In-house,Outsourced;;3-4 days per week;No;Strongly disagree;Strongly agree;Strongly disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;"1) Overestimated effectiveness of AI software with monitoring properties

2) Software for robotics did not meet expectations";Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Casablanca;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;"1) Effectiveness in security of servers

2) Accuracy in prediction of sales forecasts";Most of the time;About half the time;Senior software engineer;;We are currently working on a software plateau to help hospitals monitor OR (surgery) rooms and their issues.;"Mimnimum ratio percentages; C++    Java and Visual Basic All of these programming languages are utilized by our department."
