StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;ProlificID;Location_1;Age_2;Gender_3;Gender_3_5_TEXT;Role_4;Role_4_8_TEXT;Experience_5;AgileExp_6;Education_7;Education_7_4_TEXT;Team_8;AgileMethod_9;AgileMethod_9_5_TEXT;TeamSize_10;ProjectScope_11;MultiFunc_12_1;SoftDev_13;SoftDev_13_4_TEXT;WorkingTogether_14;InHouseOutsource_15;InHouseOutsource_15_3_TEXT;Colocated_16;MultipleTeams_17;PS_18_1;PS_18_2;PS_18_3;PS_18_4;PS_18_5;PS_18_6;PS_18_7;Leadership_19_1;Leadership_19_2;Leadership_19_3;Leadership_20_1;Leadership_20_2;Leadership_20_3;Leadership_21_1;Leadership_21_2;Leadership_21_3;Leadership_21_4;Leadership_22_1;Leadership_22_2;Leadership_22_3;Leadership_22_4;Leadership_22_5;AttentionCheck_23_1;Autonomy_24_1;Autonomy_24_2;Autonomy_24_3;Autonomy_24_4;Autonomy_24_5;Autonomy_24_6;DecisionMaking_25_1;DecisionMaking_25_2;DecisionMaking_25_3;DecisionMaking_25_4;SlackTime_26_1;SlackTime_26_2;SlackTime_26_3;SafetyNet_27_1;SafetyNet_27_2;SafetyNet_27_3;NoBlame_28_1;NoBlame_28_2;NoBlame_28_3;Openness_29_1;Openness_29_2;Openness_29_3;Openness_29_4;Openness_29_5;SpeakingUp_30_1;SpeakingUp_30_2;SpeakingUp_30_3;SpeakingUp_30_4;AdmittingMistakes_31_1;AdmittingMistakes_31_2;AdmittingMistakes_31_3;AdmittingMistakes_31_4;AdmittingMistakes_32;LearningMistakes_33_1;LearningMistakes_33_2;LearningMistakes_33_3;Helping_34_1;Helping_34_2;Helping_34_3;Helping_34_4;Helping_34_5;ProblemSolving_35_1;ProblemSolving_35_2;ProblemSolving_35_3;AttentionCheck_36;TakingInitiatives_37_1;TakingInitiatives_37_2;TakingInitiatives_37_3;TakingInitiatives_37_4;TakingInitiatives_37_5;TakingInitiatives_38;Coaching_39;PairProgramming_40;Role_41;Role_41_8_TEXT;ProjectScope_42;Technologies_43
2022-12-01 05:20:48;2022-12-01 05:31:18;IP Address;217.129.200.72;100;629;TRUE;2022-12-01 05:31:18;R_3I61Mi31bbD4kzg;;;;;40.9615;-8.5763;anonymous;EN;60c1f258dedbe64c602b60a9;Portugal;30 years or younger;Male;;Other (please specify below);Data Scientist;3 - 5 years;Less than 3 years;Master's degree;;Yes, I understand this requirement;Scrum;;4;We analyse environmental data to create new models and solutions for anthropogenic pressure issues and integrate them in marine spatial planning ;Strongly agree;Custom development;;Less than 1 year;In-house;;1-2 days per week;Yes;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Casablanca;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;;About half the time;Sometimes;Other (please specify below);Data Scientist;We work with environmental data and create software to allow researchers to gather it and incorporate it into marine spatial planning. ;We use mostly Phyton and JavaScript, depending on the project. We also employ Scrum which allows us to be able to develop what we need in a quicker but also more efficient fashion. 
2022-12-01 05:20:32;2022-12-01 05:33:12;IP Address;46.204.100.161;100;760;TRUE;2022-12-01 05:33:14;R_1Old1dDHqgpg00a;;;;;50.0585;19.9342;anonymous;EN;5b7c9b2abe58ad0001402e05;Poland;30 years or younger;Male;;Software developers (including Front End, Back End developers, etc.);;Less than 3 years;Less than 3 years;Master's degree;;Yes, I understand this requirement;Scrum;;10;I am a front-end developer. My task is to create the UI for a website for a restautant that will feature custom delivery app.;Strongly agree;Custom development;;Less than 1 year;In-house;;1-2 days per week;No;Somewhat disagree;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat agree;Strongly disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;I made a mistake of choosing wrong approach to code something, but my team helped me to fix my mistake. Another time I've deleted some files from our github branch but thankfully we had backups.;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Casablanca;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;I didn't conduct any experiment or initiatives.;Sometimes;Sometimes;Software developers (including Front End, Back End developers, etc.);;"I am a front end developer. I work on a project that consists of creating a website for a restautant that will feature custom delivery app.
";I mostly use JavaScript and TypeScript. When it comes to libraries and frameworks I use React and NextJS.
2022-12-01 05:20:16;2022-12-01 05:34:39;IP Address;165.225.196.81;100;863;TRUE;2022-12-01 05:34:39;R_3gTO1Sn5M7wywkG;;;;;53.4734;-2.3142;anonymous;EN;62fb7b5658e8f2902c9a5f52;United Kingdom;30 years or younger;Male;;Senior software engineer;;6 - 8 years;6 - 8 years;Bachelor's degree;;Yes, I understand this requirement;Scrum,Kanban;;6;We are currently working on cost optimisation for our AWS Account across all of our services. Ranging from big monoliths to smaller AWS Lambdas.;Somewhat agree;Custom development,Maintenance/enhancement of existing system(s);;Less than 1 year;In-house;;Less than 1 day per week;Yes;Somewhat disagree;Strongly agree;Somewhat agree;Strongly disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat disagree;Strongly agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat disagree;Somewhat disagree;Strongly agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Somewhat disagree;Neither agree nor disagree;Strongly disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;"Recently, in an upgrade on this system with cost optimisation I totally misinterpreted some data and in production massively downscaled our capacity which resulted in service degradation. I told them in the standup the day after.

Other one was a micro-ui which I put together very quickly, glancing and missing tests because of time, which ended up in some very unfortunate bugs. Again communicated during a standup.";Strongly agree;Somewhat disagree;Neither agree nor disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Casablanca;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;"A/B Testing - we've released two different branches on a UI Project to see what behaviour users did. 

Other one was a backend change to do with docker images and what docker image we use in a monolith. Deploying again a few different images to our pre-prod environment and putting them under stress testing to see what performed better.";About half the time;Always;Senior software engineer;;As stated at the start of the survey, we are going through cost optimisation with AWS, migrating to newer images, optimising CPU and Memory values per service etc.;"Java predominately but more and more looking at serverless YML in AWS

Frontend is Javascript react, with a little angular and nextjs here and there."
2022-12-01 05:22:09;2022-12-01 05:34:43;IP Address;87.74.199.232;100;754;TRUE;2022-12-01 05:34:45;R_ZgDn1QpGs73EIrT;;;;;51.3735;-2.3594;anonymous;EN;63468cf93d14200cf24b363a;United Kingdom;31 - 40 years;Male;;Senior software engineer;;More than 12 years;6 - 8 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;4;Implementation of new features specified by broad requirements. Investigation of any potential issues integrating with existing architecture. Fixing / documenting any issues found.;Somewhat disagree;Implementation of software packages/COTS,Maintenance/enhancement of existing system(s);;3 – 4 years;In-house;;1-2 days per week;Yes;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly disagree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;"Fixing a local problem without testing the larger scope, i.e. other similar manifestations of the problem.
Not refactoring underlying functionality in fear of regressions (poor tests at the time) which caused subsequent problems with new functionality harder to investigate and fix.";Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Casablanca;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Improving our testing framework, improving our procedures around code review and merge requests.;Sometimes;Never;Senior software engineer;;"I already did that at the start. :)
We are currently implementing new features that are to sit on top / alongside existing infrastructure and identify and fix any potential problems with the existing infrastructure.";C, C++, Git, GitLab, in-house testing framework, Visual Studio, Gcc, msvc10,12,14,15
2022-12-01 05:22:47;2022-12-01 05:34:48;IP Address;5.174.135.39;100;720;TRUE;2022-12-01 05:34:49;R_2VPDQ0pCHylSMgF;;;;;52.7851;18.2625;anonymous;EN;637e1dbcca7edef1909179e6;Poland;30 years or younger;Male;;Software engineer;;3 - 5 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;8;New technological start-up. RFID tech. App design, marketing. Product design and manufacturing. ;Strongly agree;Custom development;;Less than 1 year;In-house;;1-2 days per week;No;Somewhat disagree;Strongly agree;Strongly disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat disagree;Somewhat disagree;Strongly disagree;Somewhat agree;Strongly disagree;Strongly disagree;Strongly agree;Strongly agree;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat disagree;Somewhat disagree;Strongly agree;Somewhat agree;Strongly agree;​​​​​​​Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;"1) New trainee made a lot of mistakes and admitted to them straight away. Wasn't a problem, was given extra training and doesn't make the same mistakes anymore.

2) Two QA's had different opinions on our method of testing. One of them was clearly wrong, allowed both sides to present their arguments and chose the right method as a team.";Strongly agree;Strongly disagree;Neither agree nor disagree;Somewhat agree;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Casablanca;Somewhat disagree;Somewhat disagree;Strongly disagree;Somewhat agree;Somewhat disagree;"1) We experimented with the use of 3D printers in our HQ instead of manufacturing abroad, to save time and attempt to increase quality. Wasn't cost effective.

2) We experimented with different UI layouts, however one of them was very chaotic and difficult to manage. We agreed on simplistic approach.";Sometimes;Never;Software engineer;;"Again, same question as before.
Releasing a international RFID product, joint together with an app. 3D technologies.
It's a small team ( 8 people), but we predict to go global.";"C#, C++ , Swift, Rendering software. Maya, Trello, Slack. CS Panel .
C#, C++ , Swift, Rendering software. Maya, Trello, Slack. CS Panel ."
2022-12-01 05:20:43;2022-12-01 05:34:54;IP Address;109.76.83.73;100;850;TRUE;2022-12-01 05:34:55;R_2wcPYcRFGpADI0M;;;;;53.3402;-6.2712;anonymous;EN;5f0ef1582a709a00093a8b86;Ireland;30 years or younger;Male;;Software developers (including Front End, Back End developers, etc.);;3 - 5 years;Less than 3 years;Master's degree;;Yes, I understand this requirement;Scrum;;8;I am not sure what is needed in terms of scope of project. If it involves sharing the info of project, its an highly confidential project which I cant share much details about.;Somewhat agree;Custom development;;1 – 2 years;In-house;;1-2 days per week;Yes;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;;Somewhat agree;Neither agree nor disagree;Strongly agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Casablanca;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;;Most of the time;Most of the time;Software developers (including Front End, Back End developers, etc.);;"Already described. Due to security issue, cant share much info.

It is basically a maturity mode index that analyzes a confidential data of customer.";"PL: Java, node.js
Framework : Springboot and hibernate, Next.js
Servers: Tomcat
container: docker kuberneters and sandbox

"
2022-12-01 05:20:34;2022-12-01 05:36:25;IP Address;90.255.244.226;100;951;TRUE;2022-12-01 05:36:25;R_2PotmYi3OSgMwtT;;;;;52.0675;-0.7569;anonymous;EN;62b1e74d937ab94372960f24;United Kingdom;31 - 40 years;Male;;Software developers (including Front End, Back End developers, etc.);;More than 12 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;5;The product is their core business and has 100s of customers. The product is over 10 years old. Management set overall goals for each year and each team is left to determine the priority / how they are implemented.;Strongly agree;Custom development,Maintenance/enhancement of existing system(s);;1 – 2 years;In-house;;Always;Yes;Strongly disagree;Strongly agree;Somewhat disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;"Deleting data by mistake is a common one over the years!
Implementing some code making wrong assumptions which get caught during testing within the team.";Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Casablanca;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;"We implemented automated testing after playing around with it to see how useful it would be.
Azure often add new features so we implemented Azure Functions after seeing where it would benefit the business.";Sometimes;Sometimes;Software developers (including Front End, Back End developers, etc.);;Answered in the first question, we have one core project which is over 10 years old. There are 5 of us in the team and there are over 5 teams.;C#, In the process of upgrading to .NET Core 6 from version 3, Visual Studio, Azure. Selenium for testing. Linux hosting. We use Azure Table Services and have recently got rid of SQL Server.
2022-12-01 05:19:37;2022-12-01 05:38:46;IP Address;139.47.85.125;100;1148;TRUE;2022-12-01 05:38:47;R_2q7PA2CsGUh1D4E;;;;;40.4163;-3.6934;anonymous;EN;5b9cd49a1b99540001d77b39;Spain;31 - 40 years;Male;;Software developers (including Front End, Back End developers, etc.);;9 - 11 years;6 - 8 years;Master's degree;;Yes, I understand this requirement;XP;;6;It is a project for the improvement and synchronization of the security of all the most compromised data and that is autonomous;Strongly agree;Custom development,Implementation of software packages/COTS;;3 – 4 years;In-house;;Always;Yes;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat disagree;Strongly agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Somewhat agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neither agree nor disagree;​​​​​​​Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Strongly agree;security problem there was an acceleration problem it was not checked well;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Casablanca;Somewhat agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Somewhat agree;automatisms related to speed and codes that cannot be easily deciphered;Most of the time;Sometimes;Tech Lead;;is a government-wide project on space security systems making an appropriate design so that there is a safety automation;javascript y pythom They are the ones we work with and they give us the best results.
2022-12-01 05:20:02;2022-12-01 05:41:33;IP Address;90.208.125.17;100;1290;TRUE;2022-12-01 05:41:33;R_3CB0ONXkUUiUAUe;;;;;51.2604;-1.0825;anonymous;EN;62a1e021702679d27813a3e2;United Kingdom;41 - 50 years;Male;;Tech Lead;;More than 12 years;3 - 5 years;Bachelor's degree;;Yes, I understand this requirement;Scrum;;5;We are developing and maintaining a large scale application that is used globally in various airports and ground handlers;Somewhat agree;Custom development,Implementation of software packages/COTS,Maintenance/enhancement of existing system(s);;1 – 2 years;Outsourced;;Less than 1 day per week;No;Somewhat disagree;Somewhat agree;Strongly disagree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;Neither agree nor disagree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;We had few examples where the usage of incorrect design patterns or class structures. Deviation from good practices like SOLID principles. Also we have static code analysis, where some of the suggestions by these were not implemented;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Casablanca;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;"* We done deep code analysis, where random piece of code is chosen and analysed in depth to find issues. All members of the team involved, and on a big screen the code is scrutinised for quality. Since the most issues are common, by this we get consensus on common issues and convention of the code.
* We have implemented static code analysis tools and where it warn you on the code quality. ";Sometimes;Sometimes;Tech Lead;;We develop and maintain a software application which is mainly used by airports, airlines and ground handlers;Our software is developed using the Microsoft Technologies including C#, .NET, ASP.NET, Oracle, WPF, MVC, MVVM, Python, XML etc
2022-12-01 05:20:17;2022-12-01 05:48:55;IP Address;81.187.162.64;100;1717;TRUE;2022-12-01 05:48:56;R_1FL066ThMlcW70m;;;;;51.5076;-0.0728;anonymous;EN;60d557b55c55abe0ab9dc3f7;United Kingdom;41 - 50 years;Male;;DevOps Engineer;;More than 12 years;6 - 8 years;Bachelor's degree;;Yes, I understand this requirement;Kanban;;3;"My current main project is a migration project to move the development team from Gitlab to Bitbucket for both Git and CI/CD. This is a large project involving the migration and rewriting of many repositories and existing CI/CD pipelines.

Concurrent with this I am involved in the support of the various teams, (backend, features and platform) on a migration from VMWare to OpenNebula.";Somewhat agree;Custom development;;More than 4 years;In-house;;Always;Yes;Somewhat disagree;Strongly agree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat disagree;Somewhat disagree;Strongly disagree;Strongly disagree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;​​​​​​​Somewhat disagree;​​​​​​​Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;"I am still new to the team, (just over 6 months) so I still make a lot of mistakes and don't know all the systems well yet.
In the current project I was really struggling with understanding how Bitbucket pipelines worked as they are very different from Gitlab and Jenkins. I admitted I was having issues and sought help from another team member with more Bitbucket experience who quickly pointed out the errors in my approach. Had I gone ahead with my approach things would not have worked and there would have been breakages.
In another instance I was unable to complete a deploy that had been assigned to me because I had not paid sufficient attention while being walked through it by another senior developer. I admitted I was not able to continue and would need additional support as I was likely to break something if I did it on my own.";Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Casablanca;Somewhat disagree;Strongly disagree;Somewhat disagree;Neither agree nor disagree;Somewhat disagree;I have not been with the company long enough to be sure, but in the time I have been here there have been no experiments or initiatives of this type.;Sometimes;Sometimes;DevOps Engineer;;"I think this was already asked at the beginning of the survey. However, just in case it is needed again:

I'm mainly working on a migration project to migrate the development team from Gitlab to Bitbucket. This work includes multiple repositories and CI/CD pipelines with substantial rewrites of the existing pipelines.

I am also involved in supporting the wider team, (features, backend and platform) in their migration from VMWare to OpenNebula.";Within the wider development team the primary languages are Python and Go for the backend and Angular for the frontend. For my own work most of it is Ansible and Shell with some Python.
